rxn,lb,ub
GLUPRT,0.3301260975756719,0.3454013706084993
GLUR,-0.0193718827104873,-0.018515166951019
GLUSy,0.0,91.06498850491394
GLXCL,0.0,90.9873344659595
GLYATi,-93.1154719550519,97.11301509088348
GLYCDx,-100.0,99.88924441798528
GLYCK,0.0,92.87443242975776
GLYCL,-99.73814692106166,94.1956375452264
GLYCLTDx,-100.0,100.0
GLYCLTDy,-100.0,100.0
GLYCTO2,0.0,47.17149799595376
GLYCTO3,-100.0,100.0
GLYCTO4,-100.0,100.0
GLYK,-100.0,100.0
GLYOX,-100.0,100.0
GMHEPAT,0.0169051524335039,0.0176873711704801
GMHEPK,0.0169051524335039,0.0176873711704801
GMHEPPA,0.0169051524335039,0.0176873711704801
GMPR,-100.0,99.8132316075787
GMPS2,-99.8132316075789,100.0
GND,-100.0,100.0
GNK,0.0,9.531228098868617
GPDDA2,-100.0,99.38598014595055
GPDDA4,-99.68285464538904,99.97466213891862
GSNK,-100.0,99.9306854449759
GSPMDA,0.0,100.0
GSPMDS,0.0,100.0
GTPCI,0.0335419691141254,0.0350939904176201
GTPCII2,6.708393822825448e-06,7.018798083524042e-06
GUAD,-100.0,100.0
GUAPRT,-100.0,100.0
HEX1,0.0,100.0
histd,0.0603755444056872,0.0631691827513947
HISTP,0.0603755444056872,0.0631691827513947
HPPK2,0.0335419691141254,0.0350939904176202
HPYRI,-100.0,100.0
HPYRRx,-100.0,100.0
HPYRRy,-100.0,100.0
HSDy,-99.75181529976796,99.89752554798112
HSK,-100.0,99.64934084774907
HSST,0.0979425498132258,0.1024744520195071
HSTPT,0.0603755444053462,0.063169182751821
HXPRT,-99.99530412432402,100.0
HYPOE,0.0,100.0
ICDHyr,-99.25496578203771,100.0
ICL,-100.0,100.0
IDOND,-100.0,100.0
IDOND2,-99.15964242841792,100.0
IG3PS,0.060375544405403,0.0631691827517413
IGPDH,0.060375544405403,0.0631691827517413
IGPS,0.0362253266432617,0.0379014677350054
ILETA,-0.1935480038143643,-0.1851516695108301
IMPC,-0.4085705533602919,-0.3905016419811034
IMPD,-99.81323160757871,100.0
INSK,-100.0,100.0
IPDDIi,0.0,0.0
IPDPS,0.0,0.0
IPMD,0.2871192556169291,0.3004045579748289
IPPMIa,-0.3004045579748289,-0.2871192556169291
IPPMIb,-0.3004045579748289,-0.2871192556169291
IPPS,0.2871192556169291,0.3004045579748289
KARA1i,0.5568362668180667,0.5824226630270382
KARA2i,0.1851516695099349,0.193718827105306
KAS14,-99.85351685416369,100.0
KAS15,-99.999,100.0
KAS16,0.0225402032446719,0.0235831615606407
KDOCT2,0.0281752540556174,0.0294789519508729
KDOPP,0.0281752540556174,0.0294789519508729
KDOPS,0.0281752540556174,0.0294789519508729
LDHD,-100.0,100.0
LDHD2,0.0,47.17149654820856
LEUTAi,0.2871192556182649,0.3004045579732093
LGTHL,-100.0,100.0
L-LACD2,0.0,47.17150021102847
L-LACD3,-47.17150355388362,0.0
LPADSS,0.0056350508111679,0.0058957903901598
LPLIPA1,-100.0,99.9995574379276
LPLIPA2,-99.99962114665118,100.0
LPLIPA3,-100.0,100.0
LPLIPA4,-99.99901789575394,99.99957596216323
LPLIPA5,-99.99958320662616,99.99950000034738
LPLIPA6,-100.0,100.0
LPSSYNEC,0.0056350508111679,0.0058913155018114
MACPD,-100.0,100.0
MALS,-100.0,100.0
MCITD,-0.1937188271052576,100.0
MCITL2,-0.193718828170887,100.0
MCITS,-0.1937188271052576,100.0
MCOATA,-91.88836960725465,100.0
MDH,-100.0,100.0
MDH2,0.0,47.17149734108053
MDH3,-100.0,100.0
MDRPD,0.0046958756759778,0.0049131586584678
ME1,-100.0,100.0
ME2,-100.0,100.0
METAT,0.0046958756759778,0.0049131586584678
METS,0.0979425498132258,0.1024744520195071
MGSA,-100.0,100.0
MICITD,-0.193718828170887,100.0
MLTG2,-98.96141093784703,91.29120444896496
MLTG3,-91.50859311489948,92.7820714248644
MLTG4,-99.53509420129234,91.02408936313344
MLTG5,-98.802405361789,92.16633626874147
MLTP1,-93.99446089866628,93.82132096881791
MLTP2,-91.1065512731048,91.0319853581928
MLTP3,-93.10799050059,95.30505505914108
MMCD,-93.93301741988448,100.0
MME,-99.2776367989617,97.74618880013536
MMM2,-99.31117873032052,100.0
MOAT,0.0056350508111679,0.0058957903901598
MOAT2,0.0056350508111679,0.0058957903901598
MOHMT,3.957952355470525e-05,4.141090869280717e-05
MTAN,0.0046958756759778,0.0049131586584678
MTHFC,-99.09738414635646,99.96092137679544
MTHFD,-98.88291245877954,100.0
MTHFR2,0.1314845189272802,0.1375684424371996
MTRI,0.0046958756759778,0.0049131586584678
MTRK,0.0046958756759778,0.0049131586584678
NACODA,-100.0,100.0
NADDP,-100.0,100.0
NADH10,-100.0,100.0
NADH5,0.0,47.17149978293192
NADH9,-100.0,100.0
NADK,0.0,100.0
NADPPPS,-0.0003720358009218,99.99964441737184
NADS1,-100.0,100.0
NAMNPP,-0.0019161713792925,99.99864343712292
NDPK1,-100.0,100.0
NDPK2,-100.0,100.0
NDPK3,-100.0,100.0
NDPK4,-99.9826635687338,100.0
NDPK5,-100.0,100.0
NDPK6,-93.95797688862784,90.91463246723868
NDPK7,-99.68065736493006,99.70896692981717
NDPK8,-100.0,100.0
NMNAT,-100.0,100.0
NMNDA,-100.0,100.0
NMNN,-0.0019161713792925,100.0
NNAM,-100.0,100.0
NNAT,-100.0,100.0
NNDPR,0.0018313915136315,0.0019161318768028
NTD1,-99.28443535872434,100.0
NTD10,-100.0,100.0
NTD11,-98.16010233551454,100.0
NTD2,-100.0,100.0
NTD3,-100.0,100.0
NTD4,0.0,100.0
NTD5,0.0,100.0
