411: [-2.2584600856134784e-10, 2.2584600856134784e-10]
412: [-16.118095650958317, -6.907755278982137]
413: [-9.721165995742176, -9.210340371976184]
414: [-16.11809565095832, -6.907755278982137]
415: [-16.11809565095832, -6.907755278982137]
416: [-16.118095650958317, -6.907755278982137]
417: [-3.619353391465326, -3.582719258285546]
418: [-16.118095650958317, -8.80487526386802]
419: [-16.118095650958317, -6.907755278982139]
420: [-3.7090821614314557, -3.6690768268177565]
421: [-16.118095650958317, -6.907755278982137]
422: [-16.11809565095832, -6.907755278982139]
423: [-16.118095650958317, -6.907755278982137]
424: [-2.2584600856134784e-10, 2.2584600856134784e-10]
425: [-16.118095650958317, -6.907755278982137]
426: [-16.118095650958317, -6.907755278982139]
427: [-16.1180956567625, -6.907755278982137]
428: [-16.118095650958317, -6.907755278982139]
429: [-16.118095650958317, -6.907755278982137]
430: [-16.118095650958317, -2.3751557858288805]
431: [-3.825845309187094, -3.78539035449478]
432: [-9.016342397703033, -8.111728083308073]
433: [-16.118095650958317, -6.907755278982137]
434: [-2.7457520682862215, -2.7457520682862224]
435: [-16.118095650958317, -6.907755278982137]
436: [-16.118095650958317, -6.907755278982137]
437: [-16.118095650958317, -6.907755278982139]
438: [-4.398156016603766, -4.390058806371146]
439: [-16.118095650958317, -3.1606069167442286]
440: [-16.118095650958317, -6.907755278982139]
441: [-16.11809565095832, -6.907755278982137]
442: [-16.11809565095832, -6.907755278982137]
443: [-16.118095650958317, -6.907755278982137]
444: [-16.11809566258183, -6.907755278982139]
445: [-2.2584600856134784e-10, 2.2584600856134784e-10]
446: [-2.2584600856134784e-10, -0.0]
447: [-16.118095650958317, -6.907755278982137]
448: [-16.118095664281988, -6.907755278982137]
449: [-16.118095653137722, -6.907755278982137]
450: [-16.118095650958317, -6.907755278982137]
451: [-2.2584600856134784e-10, 2.2584600856134784e-10]
452: [-2.2584600856134784e-10, 2.2584600856134784e-10]
453: [-16.118095650958317, -9.473345456715522]
